pair_id,link1,link2,ia_link1,ia_link2,Geography,Entities,Time,Narrative,Overall,Style,Tone
1497493200_1483751692,https://brookingsregister.com/article/elizabeth-hinricher-flandreau,https://en.sahos24.com/bangladesh/27480/Many-fall-sick-as-jute-mill-workers-continue-fast-unto-death,https://web.archive.org/web/brookingsregister.com/article/elizabeth-hinricher-flandreau,https://web.archive.org/web/en.sahos24.com/bangladesh/27480/Many-fall-sick-as-jute-mill-workers-continue-fast-unto-death,4.0,3.95,1.1,3.8,3.9,1.5,1.55
1484036845_1483834236,https://www.bradenton.com/news/business/technology/article238884468.html#storylink=rss,https://www.abqjournal.com/1405333/raising-legal-age-to-buy-tobacco-is-a-good-start.html,https://web.archive.org/web/www.bradenton.com/news/business/technology/article238884468.html#storylink=rss,https://web.archive.org/web/www.abqjournal.com/1405333/raising-legal-age-to-buy-tobacco-is-a-good-start.html,3.0,3.0,2.0,3.0,4.0,2.0,3.0
1484189240_1516953594,https://www.opednews.com/articles/The-Articles-of-Impeachmen-by-Ted-Rall-Articles-Of-Impeachment_Bipartisan_Conviction_Senate-191228-892.html,https://www.strategic-culture.org/news/2020/01/01/american-collapse/,https://web.archive.org/web/www.opednews.com/articles/The-Articles-of-Impeachmen-by-Ted-Rall-Articles-Of-Impeachment_Bipartisan_Conviction_Senate-191228-892.html,https://web.archive.org/web/www.strategic-culture.org/news/2020/01/01/american-collapse/,1.2857142857142858,2.142857142857143,1.0952380952380953,2.761904761904762,2.2857142857142856,2.238095238095238,2.0476190476190474
1484188406_1484268924,https://www.opednews.com/articles/Toward-An-Impartial-Impeac-by-Neal-Herrick-Chaos_Death_Death_Democracy-191227-879.html,http://www.bavarian-illuminati.info/,https://web.archive.org/web/www.opednews.com/articles/Toward-An-Impartial-Impeac-by-Neal-Herrick-Chaos_Death_Death_Democracy-191227-879.html,https://web.archive.org/web/www.bavarian-illuminati.info/,3.5,3.8333333333333335,3.6666666666666665,3.8333333333333335,4.0,3.6666666666666665,2.6666666666666665
1496319912_1484176935,https://prospect.org/health/georgia-anti-abortion-supporters-used-misleading-tactics-to-/,https://www.facebook.com/help/contact/784491318687824?_fb_noscript=1,https://web.archive.org/web/prospect.org/health/georgia-anti-abortion-supporters-used-misleading-tactics-to-/,https://web.archive.org/web/www.facebook.com/help/contact/784491318687824?_fb_noscript=1,3.5,3.5,3.0,3.5,4.0,3.5,3.5
1484188850_1541521620,https://www.irishtimes.com/news/ireland/irish-news/belfast-society-seeks-to-get-museum-status-for-troubles-collection-1.4128171,https://www.newsletter.co.uk/news/crime/doug-beattie-psni-must-remove-rifle-from-republican-museum-1-9189807,https://web.archive.org/web/www.irishtimes.com/news/ireland/irish-news/belfast-society-seeks-to-get-museum-status-for-troubles-collection-1.4128171,https://web.archive.org/web/www.newsletter.co.uk/news/crime/doug-beattie-psni-must-remove-rifle-from-republican-museum-1-9189807,1.0526315789473684,2.0526315789473686,1.0526315789473684,2.6842105263157894,2.1578947368421053,1.263157894736842,2.526315789473684
1484037348_1484256518,https://www.cbr.com/comics-to-read-january-1st-2020/,https://pleated-jeans.com/2019/12/31/brands-trying-to-reach-the-youths-and-missing-by-a-mile-17-pics/,https://web.archive.org/web/www.cbr.com/comics-to-read-january-1st-2020/,https://web.archive.org/web/pleated-jeans.com/2019/12/31/brands-trying-to-reach-the-youths-and-missing-by-a-mile-17-pics/,1.7777777777777777,3.9545454545454546,1.6666666666666667,3.8636363636363638,3.909090909090909,3.1363636363636362,3.090909090909091
1484188482_1484068924,https://www.forbes.com/sites/danieldambrosio/2020/12/29/diabetic-ceo-builds-his-business-to-help-others-deal-with-the-disease/,https://www.washingtonexaminer.com/opinion/the-fdas-inane-big-government-war-on-vaping-escalates-in-stupidity,https://web.archive.org/web/www.forbes.com/sites/danieldambrosio/2020/12/29/diabetic-ceo-builds-his-business-to-help-others-deal-with-the-disease/,https://web.archive.org/web/www.washingtonexaminer.com/opinion/the-fdas-inane-big-government-war-on-vaping-escalates-in-stupidity,2.1818181818181817,3.6363636363636362,3.909090909090909,3.6818181818181817,3.8636363636363638,2.3181818181818183,3.409090909090909
1484039008_1484067559,https://www.euroweeklynews.com/2020/01/01/outrage-as-spains-largest-department-store-comes-under-siege-from-naked-bodies/,https://www.euroweeklynews.com/2020/01/01/avocado-thugs-arrested-for-stealing-150kg-of-the-pricey-fruit-in-spain/,https://web.archive.org/web/www.euroweeklynews.com/2020/01/01/outrage-as-spains-largest-department-store-comes-under-siege-from-naked-bodies/,https://web.archive.org/web/www.euroweeklynews.com/2020/01/01/avocado-thugs-arrested-for-stealing-150kg-of-the-pricey-fruit-in-spain/,2.05,3.55,1.05,3.75,3.8,1.6,1.55
1484012638_1483801741,https://azertag.az/en/xeber/President_The_Azerbaijani_government_is_always_with_citizens-1380298,https://en.trend.az/azerbaijan/politics/3172103.html,https://web.archive.org/web/azertag.az/en/xeber/President_The_Azerbaijani_government_is_always_with_citizens-1380298,https://web.archive.org/web/en.trend.az/azerbaijan/politics/3172103.html,1.2727272727272727,1.5909090909090908,1.1363636363636365,2.590909090909091,2.272727272727273,1.0454545454545454,1.0454545454545454
1484396322_1484074093,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12297782&amp;ref=rss,https://www.indiatoday.in/india/story/mumbai-after-recovering-woman-s-torso-cops-find-2-severed-legs-1633141-2020-01-01?utm_source=rss,https://web.archive.org/web/www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12297782&amp;ref=rss,https://web.archive.org/web/www.indiatoday.in/india/story/mumbai-after-recovering-woman-s-torso-cops-find-2-severed-legs-1633141-2020-01-01?utm_source=rss,3.857142857142857,3.9523809523809526,1.0952380952380953,3.6666666666666665,4.0,2.380952380952381,1.7142857142857142
